Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2267635,31/03/2022,Georgia,Valdosta,2379 Copeland Rd,Lowndes Middle School,0,0,0,0,0
2268670,31/03/2022,Illinois,Chicago,1744 W Pryor Ave,Morgan Park High School,0,0,0,0,1
2267749,31/03/2022,Alabama,Muscle Shoals,1400 Avalon Ave,McBride Elementary,0,0,0,0,0
2268375,01/04/2022,Michigan,Clinton Township,18300 19 Mile Rd,Chippewa Valley High School,0,0,0,0,1
2268432,01/04/2022,South Carolina,Florence,1119 N Irby St,Williams Middle School,0,0,0,0,4
2268893,01/04/2022,New York,New York (Manhattan),140 W 102nd St,Edward Reynolds West Side High School,0,0,0,0,0
2268451,01/04/2022,New York,Shortsville,1506 NY 21,Red Jacket High School,0,0,0,0,1
2268180,01/04/2022,Maryland,Waldorf,10145 Berry Rd,Mattawoman Middle School,0,0,0,0,1
2268087,01/04/2022,Ohio,Oberlin,15181 OH-58,Lorain County Joint Vocational School,0,0,0,0,1
2272654,01/04/2022,New Jersey,Salem,183 Smith St,John Fenwick Elementary School,0,0,0,0,1
2272650,01/04/2022,New Jersey,Salem,219 Walnut St,Salem High School,0,0,0,0,1
2270605,04/04/2022,South Carolina,Columbia,120 Sparkleberry Ln,Spring Valley High School,0,0,0,0,1
2273939,05/04/2022,Tennessee,Jackson,3470 Ridgecrest Rd Exd,Liberty Technology Magnet High School,0,0,0,0,1
2272234,05/04/2022,California,Sanger,1045 N Bethel Ave,Sanger High School,0,0,0,0,1
2271033,05/04/2022,Pennsylvania,Erie,3325 Cherry St,Erie High School,0,1,0,0,1
2272814,06/04/2022,Nevada,North Las Vegas,3200 W Alexander Rd,Cheyenne High School,0,0,0,0,1
2272434,06/04/2022,West Virginia,Evans,205 School House Rd,Evans Elementary School,0,0,0,0,2
2273109,06/04/2022,Missouri,Dexter,1101 W Grant St,Dexter High School,0,0,0,0,1
2278682,06/04/2022,Virginia,Woodbridge,15101 Blackburn Rd,Rippon Middle School,0,0,0,0,2
2272803,06/04/2022,Louisiana,Springhill,101 S Arkansas St,North Webster High School,0,0,0,0,0
2272694,06/04/2022,South Carolina,Pamplico,2055 S Pamplico Hwy,Hannah Pamplico High School,0,0,0,0,1
2272451,06/04/2022,West Virginia,Hamlin,81 Lincoln Panther Way,Lincoln County High School,0,0,0,0,2
2273119,07/04/2022,Tennessee,Nashville,1150 Hunters Ln,Hunters Lane High School,0,0,0,0,1
2273189,07/04/2022,California,Modesto,18 H St,Modesto High School,0,0,0,0,1
2273106,07/04/2022,Florida,Jacksonville,3816 N Main St,Andrew Jackson High School,0,0,0,0,0
2273952,08/04/2022,Virginia,Lynchburg,2111 Memorial Ave,EC Glass High School,0,0,0,0,1
2275777,11/04/2022,Texas,Beaumont,8750 Phelan Blvd,Westbrook High School,0,0,0,0,1
2277902,11/04/2022,Tennessee,Maryville,1126 William Blount Dr,William Blount High School Freshman Academy,0,0,0,0,1
2276298,11/04/2022,Arkansas,Pine Bluff,711 W 11th Ave,Pine Bluff High School,0,0,0,0,0
2277777,12/04/2022,Utah,Draper,13133 S 1300 E,Draper Park Middle School,0,0,0,0,1
